r/R;;;;;;;;;;;;;;;;
0.275;0.325;0.3992;0.47;0.5201;0.6705;0.7002;0.9819;1.1859;1.97;2.72;3.27;3.8782;4.4898;4.92;5.198;
Nm;Nm;Nm;Nm;Nm;Nm;Nm;Nm;Nm;Nm;Nm;Nm;Nm;Nm;Nm;Nm;deg
MZ_seg1;MZ_seg2;MZ_seg3;MZ_seg4;MZ_seg5;MZ_seg6;MZ_seg7;MZ_seg8;MZ_seg9;MZ_seg10;MZ_seg11;MZ_seg12;MZ_seg13;MZ_seg14;MZ_seg15;MZ_seg16;Blade 1 Azimut
-3;-1.2;1.5;2;15.6;40.2;-253.8;393.6;-625.1;-247.3;-165.3;-182.3;-226.8;-238.7;-349.3;-386;34
-3;-1.1;1.8;2.6;16.1;40.7;-253.3;394;-624.7;-247.2;-165.4;-182.5;-226.9;-238.7;-349.3;-386;35
-3.1;-1;2.2;3.2;16.7;41.2;-252.7;394.4;-624.4;-247.1;-165.6;-182.7;-227.1;-238.8;-349.3;-386;36
-3.1;-0.8;2.6;3.9;17.4;41.8;-252.1;394.8;-624;-247.1;-165.8;-183;-227.3;-238.9;-349.3;-386;37
-3.2;-0.7;3.1;4.8;18.2;42.5;-251.4;395.3;-623.5;-247.1;-166.1;-183.3;-227.6;-239;-349.3;-386;38
-3.2;-0.5;3.7;5.7;19;43.3;-250.7;395.8;-623.1;-247.2;-166.5;-183.7;-227.9;-239.1;-349.4;-386;39
-3.2;-0.3;4.3;6.7;20;44.1;-249.9;396.4;-622.7;-247.3;-166.9;-184.2;-228.2;-239.3;-349.4;-386;40
-3.3;-0.1;4.9;7.8;21;45;-249;396.9;-622.2;-247.5;-167.4;-184.7;-228.6;-239.5;-349.5;-386;41
-3.3;0.2;5.7;9;22.2;45.9;-248.1;397.5;-621.8;-247.7;-168;-185.3;-229.1;-239.7;-349.5;-386;42
-3.4;0.4;6.4;10.3;23.4;46.9;-247.1;398.2;-621.3;-247.9;-168.6;-186;-229.6;-239.9;-349.6;-386;43
-3.4;0.7;7.3;11.6;24.7;48;-246.1;398.8;-620.9;-248.2;-169.3;-186.7;-230.1;-240.2;-349.7;-386;44
-3.5;1;8.2;13.1;26;49.1;-245;399.5;-620.4;-248.5;-170;-187.5;-230.7;-240.5;-349.8;-386;45
-3.5;1.3;9.1;14.6;27.5;50.3;-243.8;400.2;-619.9;-248.9;-170.8;-188.3;-231.4;-240.8;-349.9;-386.1;46
-3.6;1.6;10.1;16.2;29;51.6;-242.6;401;-619.4;-249.3;-171.6;-189.2;-232;-241.1;-350;-386.1;47
-3.7;2;11.1;17.9;30.6;52.9;-241.3;401.8;-618.9;-249.7;-172.5;-190.2;-232.7;-241.4;-350.1;-386.1;48
-3.7;2.4;12.2;19.7;32.2;54.2;-240;402.6;-618.3;-250.2;-173.5;-191.1;-233.5;-241.8;-350.2;-386.1;49
-3.8;2.7;13.3;21.5;34;55.7;-238.6;403.4;-617.8;-250.6;-174.5;-192.2;-234.3;-242.2;-350.3;-386.1;50
-3.8;3.1;14.5;23.5;35.7;57.1;-237.2;404.3;-617.2;-251.1;-175.5;-193.2;-235.1;-242.6;-350.4;-386.1;51
-3.9;3.6;15.7;25.5;37.6;58.6;-235.7;405.2;-616.7;-251.7;-176.5;-194.3;-235.9;-243;-350.6;-386.2;52
-4;4;17;27.5;39.5;60.2;-234.2;406.1;-616.1;-252.2;-177.6;-195.4;-236.8;-243.4;-350.7;-386.2;53
-4;4.4;18.3;29.7;41.5;61.8;-232.6;407.1;-615.5;-252.7;-178.7;-196.6;-237.6;-243.8;-350.8;-386.2;54
-4.1;4.9;19.6;31.8;43.6;63.5;-231;408.1;-614.8;-253.3;-179.8;-197.7;-238.5;-244.2;-351;-386.2;55
-4.2;5.4;21;34.1;45.7;65.2;-229.4;409.1;-614.2;-253.8;-181;-198.9;-239.4;-244.7;-351.1;-386.3;56
-4.2;5.9;22.4;36.4;47.8;67;-227.7;410.1;-613.5;-254.4;-182.1;-200.1;-240.3;-245.1;-351.2;-386.3;57
-4.3;6.4;23.9;38.8;50;68.8;-225.9;411.2;-612.8;-255;-183.3;-201.3;-241.2;-245.5;-351.4;-386.3;58
-4.4;6.9;25.3;41.2;52.3;70.6;-224.1;412.3;-612.1;-255.5;-184.4;-202.5;-242.2;-246;-351.5;-386.3;59
-4.5;7.4;26.8;43.6;54.6;72.5;-222.3;413.5;-611.4;-256.1;-185.5;-203.6;-243.1;-246.4;-351.6;-386.3;60
-4.6;7.9;28.3;46.1;56.9;74.4;-220.5;414.6;-610.6;-256.6;-186.7;-204.8;-244;-246.8;-351.8;-386.4;61
-4.6;8.4;29.9;48.6;59.3;76.4;-218.6;415.8;-609.8;-257;-187.8;-206;-244.9;-247.3;-351.9;-386.4;62
-4.7;9;31.5;51.2;61.7;78.4;-216.7;417.1;-609;-257.5;-188.8;-207.1;-245.7;-247.7;-352;-386.4;63
-4.8;9.5;33.1;53.8;64.1;80.4;-214.7;418.3;-608.2;-257.9;-189.9;-208.2;-246.6;-248.1;-352.1;-386.4;64
-4.9;10.1;34.7;56.4;66.6;82.4;-212.8;419.6;-607.3;-258.3;-190.9;-209.3;-247.4;-248.5;-352.2;-386.4;65
-5;10.6;36.3;59.1;69.1;84.5;-210.8;420.9;-606.5;-258.7;-191.9;-210.4;-248.3;-248.9;-352.3;-386.4;66
-5;11.2;37.9;61.8;71.6;86.6;-208.8;422.2;-605.6;-259.1;-192.8;-211.4;-249;-249.2;-352.4;-386.4;67
-5.1;11.8;39.6;64.5;74.1;88.7;-206.7;423.6;-604.6;-259.4;-193.7;-212.3;-249.8;-249.6;-352.5;-386.4;68
-5.2;12.4;41.3;67.2;76.7;90.8;-204.6;425;-603.6;-259.6;-194.5;-213.2;-250.5;-249.9;-352.6;-386.4;69
-5.3;12.9;42.9;70;79.3;93;-202.6;426.4;-602.6;-259.8;-195.3;-214.1;-251.2;-250.3;-352.7;-386.4;70
-5.4;13.5;44.6;72.7;81.9;95.1;-200.4;427.8;-601.6;-260;-196;-214.9;-251.9;-250.5;-352.7;-386.4;71
-5.5;14.1;46.3;75.5;84.5;97.3;-198.3;429.3;-600.5;-260.1;-196.7;-215.7;-252.5;-250.8;-352.8;-386.4;72
-5.6;14.7;48;78.2;87.1;99.5;-196.2;430.8;-599.4;-260.1;-197.3;-216.4;-253;-251;-352.8;-386.4;73
-5.7;15.2;49.7;81;89.7;101.7;-194.1;432.3;-598.3;-260.2;-197.9;-217.1;-253.5;-251.3;-352.8;-386.3;74
-5.8;15.8;51.3;83.7;92.3;103.9;-191.9;433.9;-597.2;-260.1;-198.4;-217.7;-254;-251.4;-352.8;-386.3;75
-5.9;16.4;53;86.5;94.9;106.2;-189.8;435.4;-596;-260;-198.8;-218.3;-254.5;-251.6;-352.8;-386.3;76
-6;17;54.7;89.2;97.5;108.4;-187.6;437;-594.8;-259.8;-199.2;-218.7;-254.9;-251.8;-352.8;-386.2;77
-6;17.5;56.4;92;100;110.6;-185.5;438.6;-593.6;-259.6;-199.5;-219.2;-255.2;-251.9;-352.8;-386.2;78
-6.1;18.1;58;94.7;102.6;112.8;-183.3;440.1;-592.3;-259.4;-199.7;-219.5;-255.5;-252;-352.8;-386.2;79
-6.2;18.7;59.7;97.4;105.2;115;-181.1;441.8;-591.1;-259.1;-199.9;-219.8;-255.8;-252.1;-352.8;-386.1;80
-6.3;19.2;61.3;100.1;107.8;117.2;-179;443.4;-589.8;-258.7;-200;-220.1;-256;-252.2;-352.8;-386.1;81
-6.4;19.8;63;102.8;110.3;119.4;-176.8;445;-588.5;-258.3;-200.1;-220.3;-256.2;-252.3;-352.7;-386.1;82
-6.5;20.3;64.6;105.4;112.8;121.6;-174.7;446.6;-587.2;-257.9;-200;-220.4;-256.4;-252.3;-352.7;-386;83
-6.6;20.8;66.2;108;115.3;123.8;-172.6;448.2;-585.9;-257.4;-200;-220.5;-256.5;-252.3;-352.6;-386;84
-6.7;21.4;67.7;110.6;117.8;126;-170.5;449.9;-584.6;-256.8;-199.9;-220.6;-256.6;-252.3;-352.6;-385.9;85
-6.8;21.9;69.3;113.2;120.2;128.1;-168.4;451.5;-583.2;-256.2;-199.7;-220.6;-256.6;-252.2;-352.5;-385.9;86
-6.9;22.4;70.8;115.7;122.6;130.2;-166.4;453.1;-581.9;-255.6;-199.5;-220.5;-256.6;-252.2;-352.4;-385.8;87
-7;22.9;72.3;118.1;124.9;132.3;-164.3;454.8;-580.5;-255;-199.3;-220.4;-256.6;-252.1;-352.3;-385.8;88
-7.1;23.4;73.8;120.6;127.3;134.4;-162.3;456.4;-579.2;-254.3;-199;-220.3;-256.5;-252;-352.2;-385.7;89
-7.2;23.9;75.2;123;129.6;136.4;-160.3;458;-577.8;-253.6;-198.7;-220.2;-256.4;-251.9;-352.1;-385.6;90
-7.3;24.3;76.7;125.4;131.8;138.4;-158.3;459.6;-576.5;-253;-198.4;-220;-256.2;-251.7;-352;-385.6;91
-7.5;24.8;78.1;127.7;134.1;140.4;-156.4;461.1;-575.2;-252.3;-198;-219.7;-256.1;-251.6;-351.9;-385.5;92
-7.6;25.2;79.5;129.9;136.2;142.3;-154.5;462.6;-573.9;-251.6;-197.6;-219.5;-255.9;-251.4;-351.7;-385.4;93
-7.7;25.7;80.8;132.2;138.4;144.2;-152.7;464.1;-572.6;-250.8;-197.2;-219.2;-255.7;-251.3;-351.6;-385.4;94
-7.8;26.1;82.1;134.3;140.4;146;-150.9;465.6;-571.4;-250.1;-196.8;-218.8;-255.5;-251.1;-351.5;-385.3;95
-7.9;26.5;83.4;136.4;142.5;147.8;-149.1;467;-570.2;-249.4;-196.3;-218.5;-255.2;-250.9;-351.4;-385.3;96
-8;26.9;84.6;138.5;144.4;149.6;-147.4;468.4;-569;-248.8;-195.9;-218.2;-255;-250.7;-351.2;-385.2;97
-8.1;27.3;85.8;140.5;146.3;151.3;-145.8;469.8;-567.9;-248.1;-195.4;-217.8;-254.7;-250.5;-351.1;-385.1;98
-8.2;27.6;87;142.4;148.2;152.9;-144.2;471;-566.8;-247.4;-195;-217.5;-254.5;-250.3;-351;-385.1;99
-8.3;28;88.1;144.3;149.9;154.5;-142.6;472.3;-565.8;-246.8;-194.5;-217.2;-254.2;-250.1;-350.9;-385;100
-8.4;28.3;89.1;146;151.6;156;-141.2;473.5;-564.8;-246.2;-194.1;-216.8;-253.9;-249.9;-350.7;-385;101
-8.5;28.6;90.2;147.8;153.3;157.5;-139.7;474.7;-563.8;-245.6;-193.7;-216.5;-253.7;-249.7;-350.6;-384.9;102
-8.6;28.9;91.1;149.4;154.9;158.9;-138.4;475.8;-562.9;-245.1;-193.4;-216.2;-253.5;-249.5;-350.5;-384.9;103
-8.7;29.2;92.1;151;156.4;160.2;-137.1;476.8;-562;-244.6;-193;-215.9;-253.2;-249.4;-350.4;-384.8;104
-8.8;29.4;93;152.5;157.8;161.5;-135.9;477.8;-561.2;-244.1;-192.7;-215.7;-253;-249.2;-350.3;-384.8;105
-8.9;29.7;93.8;154;159.2;162.7;-134.7;478.7;-560.5;-243.7;-192.4;-215.5;-252.8;-249;-350.2;-384.7;106
-9;29.9;94.6;155.3;160.5;163.8;-133.6;479.6;-559.8;-243.4;-192.2;-215.3;-252.7;-248.9;-350.1;-384.7;107
-9.1;30.1;95.4;156.6;161.7;164.9;-132.6;480.4;-559.2;-243.1;-192;-215.1;-252.5;-248.8;-350;-384.6;108
-9.2;30.3;96.1;157.8;162.9;165.9;-131.6;481.1;-558.7;-242.8;-191.9;-215;-252.4;-248.6;-349.9;-384.6;109
