Zyklusnummer;Dämpfung;Dämpfung 2;Weg (Amplitude);Weg (Maximum);Weg (Mittelwert);Weg (Minimum);Weg (Spitze-Spitze);Weg in % (Amplitude);Weg in % (Maximum);Weg in % (Mittelwert);Weg in % (Minimum);Weg in % (Spitze-Spitze);Dynamische Steifigkeit;Dynamische Steifigkeit 2;Verlustarbeit;Verlustarbeit 2;Speicherarbeit;Speicherarbeit 2;Kraft (Amplitude);Kraft (Maximum);Kraft (Mittelwert);Kraft (Minimum);Kraft (Spitze-Spitze);Frequenz;Verlustwinkel;Verlustwinkel 2;Verlustfaktor;Verlustfaktor 2;Überwundenes Delta;Überwundene Steifigkeit;Dehnung (Amplitude);Dehnung (Maximum);Dehnung (Mittelwert);Dehnung (Minimum);Dehnung (Spitze-Spitze);Dehnung in % (Amplitude);Dehnung in % (Maximum);Dehnung in % (Mittelwert);Dehnung in % (Minimum);Dehnung in % (Spitze-Spitze);Spannung (Amplitude);Spannung (Maximum);Spannung (Mittelwert);Spannung (Minimum);Spannung (Spitze-Spitze);Temperatur
;;;mm;mm;mm;mm;mm;%;%;%;%;%;kN/mm;kN/mm;Nm;Nm;Nm;Nm;kN;kN;kN;kN;kN;Hz;°;°;;;;;mm;mm;mm;mm;mm;%;%;%;%;%;N/mm²;N/mm²;N/mm²;N/mm²;N/mm²;°C
190.000000000;0.156988009;-nan(ind);1.655060522;0.928013512;-0.727047010;-2.382107531;3.310121043;1.655060522;0.928013512;-0.727047010;-2.382107531;3.310121043;1.893920607;nan;0.837667250;0.000000000;5.335867703;0.000000000;3.134553228;2.189969468;-0.944583760;-4.079136988;6.269106456;6.000000000;2.946090997;-nan(ind);0.051464352;-nan(ind);3.246785016;1782686.818358528;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.455322786;218.996946800;-94.458375986;-407.913698771;626.910645572;0.000000000
210.000000000;0.156002413;-nan(ind);1.648960219;0.922629134;-0.726331085;-2.375291304;3.297920437;1.648960219;0.922629134;-0.726331085;-2.375291304;3.297920437;1.892114771;nan;0.826526651;0.000000000;5.298165823;0.000000000;3.120021987;2.165140785;-0.954881202;-4.074903190;6.240043975;6.000000000;2.931239154;-nan(ind);0.051204455;-nan(ind);3.229270553;1784260.489420161;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;312.002198737;216.514078500;-95.488120238;-407.490318975;624.004397474;0.000000000
230.000000000;0.156302750;-nan(ind);1.650211375;0.923942538;-0.726268837;-2.376480213;3.300422751;1.650211375;0.923942538;-0.726268837;-2.376480213;3.300422751;1.897263299;nan;0.830221522;0.000000000;5.311624545;0.000000000;3.130885479;2.172901060;-0.957984418;-4.088869897;6.261770957;6.000000000;2.931902602;-nan(ind);0.051216065;-nan(ind);3.215928281;1787788.464859666;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.088547863;217.290106025;-95.798441838;-408.886989702;626.177095727;0.000000000
250.000000000;0.156667843;-nan(ind);1.653031081;0.927984137;-0.725046943;-2.378078024;3.306062162;1.653031081;0.927984137;-0.725046943;-2.378078024;3.306062162;1.898306558;nan;0.835150579;0.000000000;5.330708357;0.000000000;3.137959742;2.179465076;-0.958494665;-4.096454407;6.275919483;6.000000000;2.937645955;-nan(ind);0.051316569;-nan(ind);3.229418168;1788696.749687755;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.795974151;217.946507627;-95.849466523;-409.645440674;627.591948301;0.000000000
270.000000000;0.158141494;-nan(ind);1.654142384;0.928148509;-0.725993875;-2.380136259;3.308284768;1.654142384;0.928148509;-0.725993875;-2.380136259;3.308284768;1.904867018;nan;0.842580830;0.000000000;5.328018656;0.000000000;3.150921272;2.191546212;-0.959375060;-4.110296331;6.301842543;6.000000000;2.949617765;-nan(ind);0.051526069;-nan(ind);3.272141306;1787027.630025707;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;315.092127160;219.154621170;-95.937505989;-411.029633149;630.184254319;0.000000000
290.000000000;0.157811592;-nan(ind);1.653036075;0.925174617;-0.727861458;-2.380897533;3.306072150;1.653036075;0.925174617;-0.727861458;-2.380897533;3.306072150;1.897222089;nan;0.840470394;0.000000000;5.325783630;0.000000000;3.136176555;2.189679828;-0.946496726;-4.082673281;6.272353110;6.000000000;2.958048502;-nan(ind);0.051673605;-nan(ind);3.258518014;1783959.750983843;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;313.617655476;218.967982828;-94.649672648;-408.267328123;627.235310951;0.000000000
310.000000000;0.158210063;-nan(ind);1.649837127;0.924369504;-0.725467623;-2.375304749;3.299674253;1.649837127;0.924369504;-0.725467623;-2.375304749;3.299674253;1.894251370;nan;0.838970298;0.000000000;5.302888345;0.000000000;3.125206237;2.166009391;-0.959196846;-4.084403083;6.250412474;6.000000000;2.968888957;-nan(ind);0.051863313;-nan(ind);3.261562964;1785541.061436939;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;312.520623693;216.600939117;-95.919684576;-408.440308268;625.041247385;0.000000000
330.000000000;0.157434497;-nan(ind);1.651869147;0.925656220;-0.726212927;-2.378082074;3.303738294;1.651869147;0.925656220;-0.726212927;-2.378082074;3.303738294;1.890043356;nan;0.836231643;0.000000000;5.311616304;0.000000000;3.122104307;2.175572002;-0.946532305;-4.068636612;6.244208614;6.000000000;2.958484583;-nan(ind);0.051681236;-nan(ind);3.252070265;1782666.984276079;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;312.210430675;217.557200163;-94.653230512;-406.863661187;624.420861350;0.000000000
350.000000000;0.158007975;-nan(ind);1.653452552;0.927307183;-0.726145369;-2.379597921;3.306905104;1.653452552;0.927307183;-0.726145369;-2.379597921;3.306905104;1.904183264;nan;0.842195312;0.000000000;5.330081029;0.000000000;3.148476677;2.185594873;-0.962881804;-4.111358481;6.296953354;6.000000000;2.951790244;-nan(ind);0.051564086;-nan(ind);3.260793309;1788854.734209626;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;314.847667689;218.559487303;-96.288180386;-411.135848075;629.695335378;0.000000000
370.000000000;0.158968276;-nan(ind);1.652765187;0.926606975;-0.726158212;-2.378923398;3.305530374;1.652765187;0.926606975;-0.726158212;-2.378923398;3.305530374;1.900928971;nan;0.846900342;0.000000000;5.327480199;0.000000000;3.141789226;2.179970180;-0.961819046;-4.103608272;6.283578452;6.000000000;2.975857578;-nan(ind);0.051985267;-nan(ind);3.278877390;1787300.492368127;0.000000000;0.015230325;0.015230325;0.015230325;0.000000000;0.000000000;0.152303254;0.152303254;0.152303254;0.000000000;314.178922597;217.997018016;-96.181904581;-410.360827179;628.357845195;0.000000000
